+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90  |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+--------+--------+--------+------------+------------+-------------+------------+
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /organizer/players                           | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 479.000    | 479.000    | 958.000     | 479.000    |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /css/app.83b4c321.css                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 4868.000   | 4868.000   | 14604.000   | 4868.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /js/chunk-vendors.40ff55a3.js                | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 131543.000 | 131543.000 | 263086.000  | 131543.000 |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /js/app.3a4ec98c.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 33296.000  | 33296.000  | 99888.000   | 33296.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /img/isuports_light.svg                      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 1748.000   | 1748.000   | 3496.000    | 1748.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /favicon.ico                                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 4286.000   | 4286.000   | 8572.000    | 4286.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /index.html                                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000 | 0.000  | 0.000  | 0.000  | 479.000    | 479.000    | 479.000     | 479.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/organizer/competitions                  | 0.001 | 0.001  | 0.001    | 0.001 | 0.001 | 0.001  | 0.001  | 0.000  | 177.000    | 177.000    | 177.000     | 177.000    |
| 4     | 0   | 4   | 0   | 0   | 0   | GET    | /api/me                                      | 0.002 | 0.023  | 0.050    | 0.013 | 0.023 | 0.023  | 0.023  | 0.010  | 177.000    | 177.000    | 708.000     | 177.000    |
| 11    | 0   | 10  | 0   | 1   | 0   | POST   | /api/organizer/player/[0-9a-z]+/disqualified | 0.007 | 0.038  | 0.162    | 0.015 | 0.027 | 0.038  | 0.038  | 0.009  | 39.000     | 163.000    | 1620.000    | 147.273    |
| 31    | 0   | 30  | 0   | 1   | 0   | POST   | /api/organizer/competition/[0-9a-z]+/finish  | 0.006 | 0.086  | 0.614    | 0.020 | 0.038 | 0.066  | 0.086  | 0.018  | 21.000     | 39.000     | 669.000     | 21.581     |
| 29    | 0   | 29  | 0   | 0   | 0   | GET    | /api/organizer/players                       | 0.001 | 0.254  | 0.916    | 0.032 | 0.112 | 0.140  | 0.254  | 0.054  | 2805.000   | 602067.000 | 1118107.000 | 38555.414  |
| 106   | 0   | 97  | 0   | 9   | 0   | GET    | /api/player/competitions                     | 0.001 | 0.196  | 4.980    | 0.047 | 0.128 | 0.144  | 0.191  | 0.048  | 39.000     | 2655.000   | 91944.000   | 867.396    |
